"FARM_NO","YEAR","COMPANY","AREA_GRP","FARM_LEVEL","UPDOWN","MSY","PSY","S_MODON","BING","BDAY","C_BDAY","D_BDAY","E_BDAY","F_BDAY","G_BDAY","BUNMAN_GIGAN","BUNMAN_RATIO","CHONGSAN_AVG","SILSAN_AVG","MILA_AVG","SASAN_AVG","EUDUSU_AVG","POU_AVG","JAGI_AVG","ZAEGI7_RATIO","DIE_SANCHA","CHO_GYOBAE","AVG_SANCHA"
"1222","2010",피그플랜,"010002","180002","4",16.8,19.2,111,2.22,61.8,13.9,0.2,46.4,0.8,0.4,115.3,71.5,11.1,9.8,0.1,1.2,8.6,20.9,6.4,"92.5","4.5",232,"5.8"
"1712","2010",피그플랜,"010001","180002","3",0,22.4,193,2.27,50,15.3,1,33.2,0.5,0,115,72.3,11.5,10.6,0.1,0.8,9.8,24.2,7.8,"83","4",241,"7.3"
"74","2012",피그플랜,"010001","180005","3",0,23.4,481,2.41,33.2,11.7,1.2,18.7,1.3,0.3,115.2,83.7,11,10.4,0.2,0.5,9.7,23.5,5.9,"92.4","5.7",257,"5.8"
"2568","2012",피그플랜,"010004","180003","3",0,22,280,2.29,45.9,24,5.5,12.9,2.4,1,114,87.8,12.4,11.3,0.3,0.7,9.6,26,11.9,"86.3","2.3",239,"6.8"
"876","2012",피그플랜,"010003","180006","3",19.4,23.3,914,2.41,30,14.3,2.3,11.6,0.7,1.1,115.7,86.4,11.4,10.7,0.1,0.5,9.7,23.2,6.8,"85.4","4.9",249,"7.2"
"2246","2012",피그플랜,"010003","180002","3",0,21.4,119,2.24,50,13.4,5,31.7,0,0,115.1,74.4,11.2,11.2,0,0,9.6,26.2,6.5,"89.4","5.5",243,"4.6"
"1745","2012",피그플랜,"010001","180002","3",0,23.6,163,2.4,36.7,13.9,0.1,22.1,0.6,0,115.1,81.6,11.8,11,0.3,0.5,9.8,22.3,6.5,"90","1.4",233,"6.8"
"1456","2012",피그플랜,"010003","180006","2",0,25.9,538,2.44,26.3,9.5,1.2,15.1,0.1,0.4,115.9,88.3,12.1,11.4,0.3,0.4,10.6,25.6,4.9,"96.1","1.6",274,"5.6"
"1067","2012",피그플랜,"010008","180002","5",0,16.3,195,1.88,92.7,18.1,4.7,62,5.9,2,113.9,60.4,10.7,9.7,0,1,8.7,30.8,11.2,"85.8","3.5",243,"6.2"
"2195","2012",피그플랜,"010005","180006","3",16.1,23.4,949,2.36,46.1,16.6,1.6,27.7,0.2,0,114.2,76.3,11.2,10.8,0.2,0.3,9.9,21.3,8,"84.8","4.2",243,"7"
