"연도","상시모돈","모돈평균산차","평균도폐산차","PSY","모돈회전율","평균이유두수","평균총산","평균실산","평균사산","평균미라","임신기간","포유기간","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","분만율","재귀발정일","재귀율_7일_이내","최초교배일령"
"2009",125,7.9,6.6,22.4,2.34,9.6,11.1,10.4,0.6,0,114.5,26.2,43.8,14.8,3.9,16.5,6.1,2.6,81,8,84,240
"2009",843,7.3,6,23.1,2.38,9.7,11.4,10.1,0.9,0.3,115.3,24.7,32.9,15.1,0.9,12.4,3.8,0.6,85.2,7,89.6,269
"2012",150,6.7,4.8,18.3,2.17,8.4,10.9,10.7,0.2,0,115.9,25.1,62.5,16.6,1.5,36.1,7,1.3,63.6,7,91.1,249
"2012",293,5.7,6.5,24.1,2.43,10,12.8,11.9,0.8,0.1,115.4,24,28.3,14.4,1.4,12.2,0.3,0,89,6.8,85.5,243
"2012",2904,6,5.4,25.1,2.4,10.5,12.1,11.3,0.4,0.4,114.9,23.9,32.4,16,1,13.1,1.6,0.7,85.3,8.2,87.7,266
"2012",141,7.2,6.2,19.2,2.14,9,11.9,10.7,1.2,0,116.2,26.9,57.6,15.6,6.3,33.5,1.9,0.4,69.6,8,82.1,217
"2012",163,3.6,5.8,24.8,2.39,10.4,11.9,10.9,0.9,0,116.8,23.1,31.1,11.3,3.2,16.6,0,0,82.4,6,88.7,247
"2012",260,6.7,6.2,25.2,2.43,10.4,11.2,10.8,0.4,0,115.3,26.1,21.4,13.3,1.3,6.9,0,0,92.4,6.6,86.9,243
"2012",142,6.6,2.9,23.5,2.22,10.6,12.4,11.4,1,0,115.3,25.6,50.8,22.2,5.7,23,0,0,86.2,10.9,78.6,233
"2012",922,6.6,5.2,19.5,2.32,8.4,10.7,10.1,0.3,0.2,115.8,24.3,39.9,16.1,3.1,18.4,1,1.3,85.7,7.9,81.4,253
"2012",284,5.5,1,20.2,2.37,8.5,11.2,9.6,1.1,0.5,115,22.2,41,12.5,2.1,23.7,2.4,0.2,72.1,6.2,91.2,243
"2012",113,5.7,4.6,20.7,2.29,9,11.6,10.7,0.9,0,115.4,26,41.2,16.4,0.8,22.7,1.3,0,75.3,8.4,71.2,248
"2012",77,7.8,3.7,18.9,2.16,8.7,11.5,10.1,1.4,0,115.3,23.7,71.3,13.6,2.2,50.9,3.4,1.2,66.5,7.8,80,245
"2012",120,7.2,6.9,20.1,2.16,9.3,11.4,10.6,0.8,0,115.4,25.6,61.8,18.1,13.4,28,1.9,0.4,75.8,9.6,77.1,247
