"YEAR","REGION","SCALE","PSY","상시모돈","모돈회전율","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","임신기간","분만율","평균총산","평균실산","평균미라","평균사산","평균이유두수","포유기간","재귀발정일","재귀율_7일_이내","평균도폐산차","최초교배일령","모돈평균산차"
2009,10001,180004,22,356,2.41,21.6,9.6,0.3,11.1,0.5,0.1,115.9,87.1,11.9,10.9,0.5,0.5,9.1,26,4.9,93.6,6.1,249,4.4
2009,10002,180005,26.6,460,2.54,21.5,12,0.3,8.6,0.5,0,113.9,93,12.1,11.5,0.3,0.3,10.5,22.4,5.6,95.6,6.6,235,7.2
2009,10002,180001,21.5,57,2.23,59.5,11.4,0.6,44.7,2.6,0.1,114.2,69.6,10.7,10.3,0,0.4,9.6,25.2,6.1,94.3,4.4,233,7.2
2009,10001,180002,19.5,173,2.09,58.5,16.2,1.7,36.6,2.5,1.5,115.5,69.7,11.2,10.8,0.1,0.3,9.3,31.2,8.5,85.7,4.8,241,8
2009,10006,180005,24.3,454,2.45,34.1,14.9,2.3,16.8,0.1,0,115.2,88.4,11.8,10.6,0,1.1,9.9,19.8,6.4,91.4,7.9,267,8.6
2009,10006,180004,20.6,399,2.16,61.6,15.1,2.2,41.1,2.3,0.9,116.3,71.5,10.7,10.3,0,0.4,9.5,24.9,8.4,87.3,5,228,7.3
2009,10003,180006,22.7,551,2.3,50.5,20.7,1.9,27.8,0.1,0,115.8,76.5,11.1,10.2,0,0.9,9.8,21.2,7.4,86.9,4.9,231,5.9
2009,10001,180006,24.2,502,2.37,27.3,11.5,0.6,13.9,1.1,0.1,115.2,87.1,12,11.1,0.1,0.8,10.2,26.9,5.2,94.8,6.7,255,7.7
2009,10002,180004,21.6,372,2.41,31.2,11.1,0.9,18.5,0.6,0.2,115.1,85.9,12,10.9,0.3,0.7,9,23.7,5.1,92.9,7.7,244,6.9
2009,10007,180006,20.9,534,2.32,52.7,12.5,0.7,30.6,6.8,2.2,114.6,76.7,10.8,9.6,0.5,0.8,9,20,5.7,93.9,5,249,7
2009,10002,180006,23.9,566,2.46,28.9,11.4,3,14.2,0,0.1,114.9,85.9,11.4,11.2,0,0.2,9.7,23.7,5.7,94.3,5.4,286,6
2009,10002,180003,19.6,291,2.12,66,20.4,10.3,25.4,6.9,2.9,115.9,79.1,11.3,10.8,0.1,0.4,9.3,25.4,9.9,86.1,5.7,245,6.8
2009,10001,180002,23,160,2.33,42.8,14.3,0.5,27.9,0.2,0,116.2,84.9,11.9,10.7,0,1.2,9.8,21.9,7.1,86.8,6.8,266,8.1
2009,10002,180004,22.8,333,2.25,41.4,16.7,2.8,21.5,0.4,0,115.6,79.3,11.8,10.6,0,1.2,10.1,27.1,8.4,84.8,5.1,199,7.2
2009,10003,180002,21.1,175,2.26,54.6,17.4,1.7,33.9,1.3,0.3,114.9,70.7,10.7,10.4,0,0.3,9.3,22.4,8.4,86.1,5,217,5.3
2009,10005,180007,22.9,1027,2.45,33.5,15.8,2.2,13.9,0.8,0.8,114.9,85.4,11.4,10,0.1,1.3,9.4,20.4,7.7,86.3,4.3,245,6.2
2009,10002,180003,21.7,291,2.25,44.4,13.3,2.1,28.8,0.1,0.1,115,87.2,12,11,0.2,0.7,9.7,26.1,6.3,90.2,6.6,248,9.6
2009,10001,180005,22.2,409,2.29,42.7,13,3.6,20,3.4,2.7,114.1,81.2,11.6,10.9,0.2,0.6,9.7,26.8,6.9,89.8,4.3,256,7
2009,10009,180002,21.5,120,2.15,56.5,13.8,4.3,30,7,1.4,115.5,76,11.9,11.1,0,0.8,10,27.2,7.2,90,3.4,230,NA
2009,10007,180003,19.6,269,2.29,43.3,19.9,4.6,17.7,0.5,0.7,115,80.7,10.6,10,0.1,0.6,8.6,25.6,9.1,76.9,4.4,226,7.1
2009,10002,180001,24.7,98,2.52,14.3,10.5,0,3.6,0.3,0,115.8,97.8,11.4,11.4,0,0,9.8,26.9,5.2,94.1,0,230,10.9
2009,10007,180003,19.7,218,2.18,54.3,13.9,2.5,30.4,4.5,3,114.4,76.5,11,10.3,0,0.7,9,27.7,6.6,87.3,5.8,242,6.7
2009,10003,180003,24.4,202,2.44,28.3,11.7,0.9,12.8,1.9,1,114.9,89.1,11.8,10.7,0.3,0.8,10,23.9,5.3,98.8,3.4,251,6.4
2009,10006,180003,20.4,274,2.28,44.3,11.4,0,28.9,3.3,0.6,114.9,77.3,11.4,10.2,0.4,0.9,8.9,24.6,5.1,98,6.1,242,8.1
2009,10001,180004,22,397,2.31,39.3,12.9,5.4,20.8,0.1,0.1,115.5,82,11.5,11,0.1,0.4,9.5,26.6,6.7,88.2,3.8,242,5.8
2009,10002,180003,22.5,226,2.31,35.9,15.4,1.3,18.4,0.5,0.4,115.3,86.3,11.8,10.7,0,1,9.7,28.3,6.9,85.4,7.4,232,7
2009,10005,180007,22.6,1242,2.45,36.2,12.1,0.8,22.8,0.5,0,114.4,78.4,10.9,10,0.3,0.7,9.2,19.4,5.7,95.5,5.1,254,7
2009,10009,180002,21.7,143,2.19,56.5,12,1,41.8,0.8,0.9,116.1,76,11.8,10.8,0,1,9.9,25.3,6.2,88.5,4.5,232,5.9
2009,10002,180002,19.8,123,2.2,58.6,16.6,0.9,41.1,0,0,115.7,74,11.4,10.6,0,0.8,9,25.2,9,89,4.1,250,6.2
2009,10001,180001,25.4,50,2.53,21.1,21.1,0,0,0,0,116.2,100,11.8,10.8,0,1,10,24.5,10.4,90.1,0,222,7.4
2009,10002,180005,21.3,464,2.39,38.9,13.6,0.1,24.2,0.8,0.1,114.1,81.4,10.9,10.5,0.1,0.3,8.9,22.2,6.3,89.3,7,230,8.3
